name,latitude,longitude
Midtown west,40.760920,-73.994550
Central Harlem,40.814547,-73.942389
Midtown south,40.750481,-73.987264
Midtown,40.759289,-73.980887
midtown east,40.749811,-73.972216
Central Park South,40.765610,-73.977021
Upper West Side,40.784432,-73.977329
Upper East Side,40.773788,-73.956003
East  Harlem,40.799281,-73.943285
Morningside Heights,40.808669,-73.959983
West Harlem,40.815118,-73.950391
Hamilton Heights,40.825243,-73.947674
Inwood,40.868707,-73.922768
Marble Hill,40.876374,-73.910110
Chelsea,40.745282,-74.002337
West Village,40.735167,-74.006049
Flatiron,40.740278,-73.990586
Gramecy Park,40.735821,-73.985422
Stuyvesant Town,40.731901,-73.975987
East Village,40.727098,-73.982958
Lower East Side,40.714303,-73.988720
Greenwich Village,40.732247,-73.996421
SoHo,40.725514,-74.004065
Nolita,40.722653,-73.995205
Little Italy,40.718755,-73.996811
Chinatown,40.715498,-73.996458
Financial District,40.707992,-74.010675
Battery Park City,40.712042,-74.016101
Tribeca,40.717650,-74.007539
