areaName,Rent
All Downtown,5300
All Midtown,4695
All Upper East Side,4165
All Upper Manhattan,3190
All Upper West Side,4800
Battery Park City,5249
Central Harlem,3425
Central Park South,13287
Chelsea,5695
Chinatown,4000
East Harlem,3000
East Village,4995
Financial District,4875
Flatiron,6478
Gramercy Park,5100
Greenwich Village,5795
Hamilton Heights,3200
Inwood,3000
Little Italy,3700
Lower East Side,4748
Manhattan,4600
Marble Hill,3150
Midtown,5200
Midtown East,4600
Midtown South,5135
Midtown West,4500
Morningside Heights,4598
Nolita,4995
Roosevelt Island,4763
Soho,7998
Stuyvesant Town/PCV,5527
Tribeca,7895
Upper East Side,4165
Upper West Side,4800
Washington Heights,2850
West Harlem,3673
West Village,5500
